"TimeStamp" "BatteryLevel" "ACC_X" "ACC_Y" "ACC_Z" "ACC_G_X" "ACC_G_Y" "ACC_G_Z" "ROT_A" "ROT_B" "ROT_G" "mag"
"1" 1488117888859 100 -1.0271909236908 -4.67768049240112 -3.91350889205933 1.605584025383 -7.34357213973999 -6.1232328414917 -5.46000003814697 0.910000026226044 -0.420000016689301 6.18476902001442
"2" 1488117888902 100 -0.779638946056366 -3.66174626350403 -3.16334986686707 1.55294179916382 -7.24307441711426 -6.16391134262085 4.48000001907349 -1.04999995231628 -0.140000000596046 4.90132685756637
"3" 1488117888948 100 -0.627539753913879 -3.02319526672363 -2.67807745933533 1.55772757530212 -7.36032247543335 -6.34815835952759 -0.349999994039536 -1.88999998569489 -5.17999982833862 4.08725025434979
"4" 1488117888985 100 -0.835112810134888 -2.35155725479126 -1.99123620986938 1.97407877445221 -7.2765736579895 -6.15912580490112 -10.289999961853 -7.69999980926514 -10.7799997329712 3.19253137364502
"5" 1488117889032 100 -0.137840747833252 -2.24304008483887 -1.68104457855225 1.31126689910889 -7.72881650924683 -6.26919555664062 -0.349999994039536 -10.5699996948242 -7.69999980926514 2.80644611012524
"6" 1488117889081 100 -0.699864029884338 -1.47666597366333 -1.18595266342163 2.04825615882874 -7.33160877227783 -6.07059144973755 -8.96000003814697 -8.05000019073486 2.24000000953674 2.01911757408475
"7" 1488117889130 100 -0.230638742446899 -1.13730478286743 -1.09041690826416 1.63669061660767 -7.2765736579895 -6.24765968322754 -3.5 -5.59999990463257 4.19999980926514 1.59237728961418
"8" 1488117889181 100 -0.184510946273804 -0.856244564056396 -1.19775772094727 1.63669061660767 -7.2095742225647 -6.65443992614746 -7.84000015258789 -11.1999998092651 -0.349999994039536 1.48385396884591
"9" 1488117889226 100 -0.0327532291412354 -0.684995651245117 -0.931406497955322 1.49312126636505 -7.2095742225647 -6.62094020843506 -11.6199998855591 -12.039999961853 -6.01999998092651 1.15663731596266
"10" 1488117889280 100 0.557646036148071 -0.45802640914917 -0.798724174499512 0.763310432434082 -7.09711170196533 -6.68793869018555 -10.0799999237061 -12.460000038147 -6.78999996185303 1.07643745756066
"11" 1488117889326 100 0.503544569015503 -0.699501991271973 -0.928032875061035 0.69152569770813 -7.51346302032471 -7.04925584793091 3.3600001335144 -8.32999992370605 -6.57999992370605 1.26653274176885
"12" 1488117889384 100 0.948399186134338 -0.638085842132568 -0.771140098571777 0.00957129057496786 -7.61156845092773 -7.08514785766602 5.46000003814697 -7.90999984741211 -8.81999969482422 1.37886605941824
"13" 1488117889426 100 0.720434188842773 -0.680837631225586 -0.471428394317627 0.057427741587162 -7.82452964782715 -6.90329313278198 9.3100004196167 8.81999969482422 -4.13000011444092 1.09763838832072
"14" 1488117889481 100 0.141810774803162 -0.663354396820068 0.0631365776062012 0.600598454475403 -7.97288513183594 -6.35294389724731 30.2399997711182 18.5499992370605 3.07999992370605 0.681274965827025
"15" 1488117889527 100 0.270417809486389 -0.934592247009277 0.352961540222168 0.4043869972229 -8.47777080535889 -5.97487831115723 28.3500003814697 44.1700019836426 2.94000005722046 1.03497357876096
"16" 1488117889580 100 -0.021033763885498 -0.787873268127441 0.812619209289551 0.701097011566162 -8.52801990509033 -5.31206607818604 43.1199989318848 67.620002746582 17.6399993896484 1.13204977150273
"17" 1488117889627 100 -1.16729605197906 -0.90786600112915 0.47781229019165 2.13918328285217 -8.87497901916504 -5.52742004394531 95.129997253418 102.620002746582 18.9699993133545 1.5540609169625
"18" 1488117889679 100 -2.46907186508179 -0.743520736694336 0.523905277252197 4.05822706222534 -8.89651393890381 -5.35035085678101 69.9300003051758 108.98999786377 25.4099998474121 2.63127643936658
"19" 1488117889734 100 -1.5924060344696 -0.0339393615722656 0.47655200958252 3.57966279983521 -8.1954174041748 -5.27856636047363 26.1800003051758 79.6600036621094 34.439998626709 1.66253140623457
"20" 1488117889779 100 -0.829816818237305 -0.329604148864746 0.60329532623291 3.02452778816223 -8.57348346710205 -5.00099897384644 24.5 56.3499984741211 49.6300010681152 1.0775899486506
"21" 1488117889834 100 -0.914621353149414 0.65707540512085 1.09711313247681 3.33798766136169 -7.42253541946411 -4.23290300369263 -4.26999998092651 30.8700008392334 55.7900009155273 1.57223965511135
"22" 1488117889879 100 1.87935101985931 0.941054344177246 2.15258646011353 0.0741775035858154 -6.90329313278198 -2.63928318023682 4.48000001907349 29.1200008392334 43.6100006103516 3.00851657844945
"23" 1488117889926 100 0.113729357719421 1.36349201202393 0.295946598052979 1.81136679649353 -6.1399827003479 -4.42193651199341 52.4300003051758 57.6800003051758 22.5400009155273 1.39986757322236
"24" 1488117889979 100 0.263266801834106 -0.69520902633667 1.54993844032288 1.59601259231567 -8.37248611450195 -2.78046011924744 50.5400009155273 52.0099983215332 -3.4300000667572 1.71899219545594
"25" 1488117890026 100 -1.47393393516541 -1.91337585449219 0.765214920043945 3.70169687271118 -10.0689973831177 -3.37387990951538 14.9099998474121 43.75 -0.769999980926514 2.53358289377785
"26" 1488117890082 100 0.379059195518494 -1.18996238708496 1.47167372703552 1.75393903255463 -9.64307498931885 -2.29950261116028 -8.47000026702881 17.5699996948242 6.30000019073486 1.93016059311931
"27" 1488117890126 100 -0.303572416305542 -0.829458236694336 0.769602298736572 2.51246380805969 -9.48993492126465 -2.80917358398438 -6.51000022888184 19.0400009155273 8.81999969482422 1.17151392504839
